"ROUNDQUANT"	"XGENDER1"	"STYLE"	"COLOR"	"XSPORT_ACTIVITY1"	"XSIZE1"	"UPC"	"NIKEPO"	"XCOLORBAR"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5683505D4804"	"HTTPS://QR.NIKE.COM/04PQC9T5VDMDY"	"1"	"BLUE"	"25" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56835B580404"	"HTTPS://QR.NIKE.COM/04MSYJ1GKPQ3V"	"1"	"BLUE"	"26" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568398374804"	"HTTPS://QR.NIKE.COM/04RYCSGSTA5VK"	"1"	"BLUE"	"27" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5683EB2E9404"	"HTTPS://QR.NIKE.COM/046M0CBFMXBX5"	"1"	"BLUE"	"28" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56845668EC04"	"HTTPS://QR.NIKE.COM/04W39RM5SF2X2"	"1"	"BLUE"	"29" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5684C9ED3804"	"HTTPS://QR.NIKE.COM/04629A8WNEH3Y"	"1"	"BLUE"	"30" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5684EBDFC404"	"HTTPS://QR.NIKE.COM/04J9KF22EMMYB"	"1"	"BLUE"	"31" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5684F951B804"	"HTTPS://QR.NIKE.COM/043HGN6NSZTB4"	"1"	"BLUE"	"32" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568581525004"	"HTTPS://QR.NIKE.COM/04EP95GT9M5G2"	"1"	"BLUE"	"33" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568581A75C04"	"HTTPS://QR.NIKE.COM/04J4SETQMW4HM"	"1"	"BLUE"	"34" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5685B61E6004"	"HTTPS://QR.NIKE.COM/04CQ0F7N034QQ"	"1"	"BLUE"	"35" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5685DC411004"	"HTTPS://QR.NIKE.COM/04P3WQ2H1EA4K"	"1"	"BLUE"	"36" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568619735004"	"HTTPS://QR.NIKE.COM/04J639XWZCCNC"	"1"	"BLUE"	"37" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C56864DB97004"	"HTTPS://QR.NIKE.COM/045ZNMZYNTNQY"	"1"	"BLUE"	"38" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568671527804"	"HTTPS://QR.NIKE.COM/04M1XS1B8M7PE"	"1"	"BLUE"	"39" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5686918A8404"	"HTTPS://QR.NIKE.COM/04DGC1QQXTPCW"	"1"	"BLUE"	"40" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568699E97C04"	"HTTPS://QR.NIKE.COM/04Y4C65Q26ZJ1"	"1"	"BLUE"	"41" 
