"ROUNDQUANT"	"XGENDER1"	"STYLE"	"COLOR"	"XRETAIL"	"XSIZE1"	"XSPORT_ACTIVITY1"	"UPC"	"XCOLORBAR"	"NIKEPO"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630486915404"	"HTTPS://QR.NIKE.COM/0476DGSKA1NNQ"	"1"	"WHITE"	"23" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6304A369D804"	"HTTPS://QR.NIKE.COM/04D03Q1V1SR6T"	"1"	"WHITE"	"24" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6304EEC3FC04"	"HTTPS://QR.NIKE.COM/048BF91S8MX0N"	"1"	"WHITE"	"25" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630521537C04"	"HTTPS://QR.NIKE.COM/040AWJN1103E8"	"1"	"WHITE"	"26" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6305A9395404"	"HTTPS://QR.NIKE.COM/045ZT9K4H55WZ"	"1"	"WHITE"	"27" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6305DA552004"	"HTTPS://QR.NIKE.COM/04STTVCVCJW5A"	"1"	"WHITE"	"28" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63061CA5DC04"	"HTTPS://QR.NIKE.COM/04EHRW7EGEPF1"	"1"	"WHITE"	"29" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63063D4F0C04"	"HTTPS://QR.NIKE.COM/04KNXR75PWY89"	"1"	"WHITE"	"30" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63064245C804"	"HTTPS://QR.NIKE.COM/04NC68WXF32SD"	"1"	"WHITE"	"31" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63067457E404"	"HTTPS://QR.NIKE.COM/045T72PCRXTPG"	"1"	"WHITE"	"32" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630676B6D804"	"HTTPS://QR.NIKE.COM/04A6XJ6906M5P"	"1"	"WHITE"	"33" 
